word,weight,,
3,0,,
10,0,,
12,0.25,,
14,0.5,,
17,0,,
26,0.5,,
30,0.06666666666666667,,
32,0.5,,
39,0.1111111111111111,,
48,0.5,,
50,0.2857142857142857,,
55,0.5,,
90,0,,
112,0.6,,
240,0.5,,
250,0.5,,
500,0,,
2012,0,,
“hello,0.6666666666666666,,
“no,0.5,,
9th,0.6,,
able,0.09090909090909091,,
about,0.4358974358974359,,
absolutely,0.14285714285714285,,
abuse,0.2,,
accept,0.14285714285714285,,
accident,0.5,,
accountable,0.2,,
accused,0,,
acknowledge,0.7142857142857143,,
across,0.21212121212121213,,
act,0.07692307692307693,,
action,0.2,,
active,0,,
activist,0.5,,
activities,0,,
actually,0.6,,
add,0,,
addiction,0,,
admire,0.5,,
ads,0.5,,
adult,0,,
advanced,0,,
advisors,0.5,,
advocate,0.5555555555555556,,
advocates,0.5,,
afford,0.2727272727272727,,
affordable,0.047619047619047616,,
afraid,0.7777777777777778,,
against,0.1,,
age,0.5,,
agenda,0.6,,
ages,0.7142857142857143,,
ago,0.391304347826087,,
agree,0.1111111111111111,,
ahead,0.6470588235294118,,
aid,0,,
alicia,0.7142857142857143,,
all,0.34798534798534797,,
allies,0.2727272727272727,,
ally,0,,
alone,0.28,,
alongside,0.5,,
already,0.5555555555555556,,
always,0.4166666666666667,,
am,0.046153846153846156,,
america,0.06358381502890173,,
america’s,0,,
americans,0.25,,
americorps,0.8571428571428571,,
anastasia,0.8,,
and,0.02299389957766307,,
angry,0.6,,
annual,0,,
answers,0,,
any,0.16666666666666666,,
anybody,0,,
anyone,0.17647058823529413,,
anything,0.07692307692307693,,
anywhere,0,,
apart,0.45454545454545453,,
appointed,0,,
apprenticeships,0.5,,
are,0.024390243902439025,,
area,0,,
aren’t,0.75,,
arkansas,0.5,,
armed,0.5555555555555556,,
around,0.29411764705882354,,
art,0,,
as,0.3116279069767442,,
ask,0.047619047619047616,,
asked,0.16666666666666666,,
asks,0,,
aspect,0.5,,
assaulted,0,,
assignments,0.5,,
at,0.18811881188118812,,
athletes,0.5,,
attention,0.5,,
autism,0.5,,
available,0,,
average,0,,
avoid,0,,
away,0.2222222222222222,,
awful,0,,
background,0.5,,
backgrounds,0,,
backwards,0.5,,
balance,0.75,,
ballot,0.7142857142857143,,
bank,0,,
barack,0.5,,
barbara,0.6,,
barriers,0.75,,
basic,0.2,,
basically,0.6,,
baton,0.2,,
beautiful,0.2727272727272727,,
beauty,0.5,,
became,0.8181818181818182,,
because,0.5664335664335665,,
become,0.2,,
bed,0.5,,
bedford,0.7142857142857143,,
began,0.5,,
begun,0.6,,
behalf,0,,
behind,0.4117647058823529,,
beings,0.6,,
belief,0.6,,
beliefs,0.5,,
believe,0.358974358974359,,
believed,0.6,,
believes,0.14285714285714285,,
belong,0.6666666666666666,,
beloved,0.2,,
bernardino,0,,
bernie,0.25,,
best,0.36,,
better,0.2222222222222222,,
between,0.2631578947368421,,
bias,0.5,,
biden,0.5,,
big,0.25,,
bigger,0.2727272727272727,,
bigotry,0.5,,
